step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement
64,6.037476242869702e-13,,,,,,,,,,,,,,,,,surface,1,0.17297369115497627,,0,11,0.03442051661847353,0.055657041659935284,90464445136777.97,64,64,0,0.35
65,6.079549388930704e-13,,,,,,,,,,,,,,,,,surface,1,0.20750593178276255,,0,12,0.03990737601285817,0.0570986434776094,102280738470913.45,64,64,0,0.35
66,6.126607346364072e-13,,,,,,,,,,,,,,,,,relaxation,1,0.10735563548840278,,0,10,0.04974222732300168,0.22041138922215342,97411406090312.64,64,64,0,0.35
67,6.19713925397818e-13,,,,,,,,,,,,,,,,,coordination,1,0.10601856359261962,,0,12,0.02797843568587829,0.19274004029362407,98685260365059.17,64,64,0,0.35
68,6.213855263867964e-13,,,,,,,,,,,,,,,,,coordination,1,0.14195731658190347,,0,12,0.03813850736213751,0.3595004331388044,97341351816494.52,64,64,0,0.35
69,6.376960268800811e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.26879614447243244,,0,10,0.06926392040661307,0.6097490967313479,100282454031629.38,64,64,0,0.35
70,6.414728147218658e-13,,,,,,,,,,,,,,,,,random_bulk,1,0.06949106250107778,,0,11,0.022344762822903968,0.22078599623710232,91616088970283.48,64,64,0,0.35
71,6.547879146380653e-13,,,,,,,,,,,,,,,,,surface,1,0.0503858515325054,,0,11,0.018948982696447954,0.15752771648094147,103929640521087.78,64,64,0,0.35
72,6.548052073041837e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.33298559358176694,,0,12,0.07900205962749193,0.555340171989656,100911925215772.28,64,64,0,0.35
73,6.559562566806197e-13,,,,,,,,,,,,,,,,,random_surface,1,0.17536003939105868,,0,12,0.03578181639709616,0.34924241144339113,93453321901970.97,64,64,0,0.35
74,6.577089494761823e-13,-6542.999816298536,-15.57857099118699,-46.73571297356097,133.0,223.0,356.0,273.0,83.0,1.5285714285714285,0.530952380952381,0.6458333333333334,0.7127976190476191,2.653616095704187,1.9016441783267444,2.0123080413809733,3.0812958095690863,surface_compression,1,-0.11465369228521761,-0.09506574186085182,1,12,0.049825957379022456,0.6068635263499612,101498354609112.62,64,64,0,0.35
75,6.615165401009479e-13,,,,,,,,,,,,,,,,,random_bulk,1,-0.4249058594457611,-0.3862108903628272,1,11,0.1454171634084565,0.614541932754236,103495893196941.28,64,64,0,0.35
76,6.949089564004321e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.05441373811438659,,0,11,0.04234062873505601,0.29812105823383334,102158613866226.56,64,64,0,0.35
77,6.985377949660898e-13,,,,,,,,,,,,,,,,,relaxation,1,0.28738715927489467,,0,12,0.08341656421625238,0.28993289561871477,98771179711883.72,64,64,0,0.35
78,7.260440678476286e-13,,,,,,,,,,,,,,,,,surface,1,0.2130806767427177,,0,11,0.037854450731483816,0.2681859382176514,102489962720671.7,64,64,0,0.35
79,7.290986945454968e-13,,,,,,,,,,,,,,,,,random_bulk,1,0.0065612368091445055,,0,11,0.1088133425823164,0.667556323904839,101400177895959.86,64,64,0,0.35
80,7.417521479012954e-13,,,,,,,,,,,,,,,,,relaxation,1,0.053715016423364875,,0,11,0.026629233400795066,0.2422784550093279,103718606372142.77,64,64,0,0.35
81,7.499792333221894e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.04486655148486259,-0.09812567643602321,1,11,0.029046397724928206,0.7796938297599301,99538842945468.56,64,64,0,0.35
82,7.778578872713088e-13,,,,,,,,,,,,,,,,,coordination,1,0.18875696197339983,,0,11,0.05361449469083293,0.26993517890513513,91165324781512.73,64,64,0,0.35
83,7.963067797923401e-13,,,,,,,,,,,,,,,,,surface,1,0.05039028271482715,,0,11,0.02604447408624435,0.3464031721513238,88622896728972.81,64,64,0,0.35
84,8.129561584238844e-13,,,,,,,,,,,,,,,,,coordination,1,0.045288067309833015,,0,12,0.076408743401508,0.5989578625504026,92684780649635.53,64,64,0,0.35
85,8.25479279252447e-13,,,,,,,,,,,,,,,,,surface,1,0.26195080913044305,,0,11,0.07048082016213866,0.303270968813795,105869030023358.86,64,64,0,0.35
86,8.272018318628574e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.6199460822998443,-0.7441711931314288,1,10,0.15803499930077822,0.8134314690884682,98339258542973.1,64,64,0,0.35
87,8.308046743811805e-13,,,,,,,,,,,,,,,,,surface,1,-0.19830304570591695,-0.014405745359242772,1,11,0.11912090341179983,0.6899860109501988,96037550035009.06,64,64,0,0.35
88,8.342931008346138e-13,,,,,,,,,,,,,,,,,relaxation,1,0.021906718079355198,,0,11,0.024741392995095257,0.676344665654153,93561251281657.47,64,64,0,0.35
89,8.351118487958478e-13,,,,,,,,,,,,,,,,,surface,1,-0.09146457771704514,,0,12,0.04803238715157634,0.5638199627581499,106727643536081.92,64,64,0,0.35
90,8.493073505195436e-13,,,,,,,,,,,,,,,,,surface_compression,1,0.08253637702215146,,0,9,0.029814394516265396,0.5433416585613728,105244611494308.62,64,64,0,0.35
91,8.49587448494855e-13,,,,,,,,,,,,,,,,,relaxation,1,0.16871859594243976,,0,12,0.08551211972213195,0.27210890338048216,95977796443928.44,64,64,0,0.35
92,8.589445509616637e-13,,,,,,,,,,,,,,,,,random_bulk,1,0.06264742911071973,,0,11,0.05193030224005185,0.3995020085035676,92086351488400.94,64,64,0,0.35
