step,total_energy,energy_per_atom,energy_per_puo2,event_applied,accepted_event_kind,exact_delta_E_if_checked,predicted_delta_E,uncertainty,good_event_probability,total_rate,kmc_time,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,wall_time_s,steps_per_second
60,,,,1,surface,0.068131506667239,0.068131506667239,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
61,,,,1,surface_compression,-0.27811219258670583,-0.27811219258670583,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
62,,,,1,surface_compression,-0.2383161261731921,-0.2383161261731921,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
63,,,,0,rejected_random_bulk,0.3248285059361393,0.3248285059361393,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
64,,,,1,relaxation,-0.1517297246578302,-0.1517297246578302,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
65,,,,1,relaxation,-0.2602240360428425,-0.2602240360428425,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
66,,,,1,surface,0.1342868945505309,0.1342868945505309,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
67,,,,1,surface,-0.34683339864396245,-0.34683339864396245,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
68,,,,0,rejected_surface_compression,0.16472036844427151,0.16472036844427151,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
69,,,,1,relaxation,-0.08756631440590112,-0.08756631440590112,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
70,,,,1,surface,0.1032823436551098,0.1032823436551098,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
71,,,,1,random_bulk,0.009938705690849758,0.009938705690849758,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
