step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement
41,1.94986552267804e-13,,,,,,,,,,,,,,,,,surface_compression,1,0.003606501857999684,-0.03819618456849838,1,16,0.01987974311188414,0.7285617715991926,178041094752035.75,128,128,0,0.35
42,1.9516597161275177e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.1127803074285789,,0,17,0.07408680219625266,0.6422544371017895,202263217825217.75,128,128,0,0.35
43,1.994604072855417e-13,,,,,,,,,,,,,,,,,random_surface,1,0.14464550826691427,,0,17,0.030644146477887924,0.28131572778891595,196273824651679.5,128,128,0,0.35
44,2.0017180152184766e-13,,,,,,,,,,,,,,,,,surface,1,-0.21229677026615124,-0.15456366875699956,1,18,0.06838272456487163,0.7349476541415987,200185364044968.28,128,128,0,0.35
45,2.199713659898056e-13,,,,,,,,,,,,,,,,,relaxation,1,0.1029021469411132,,0,18,0.03927713943399977,0.44232883864361905,206244755321511.47,128,128,0,0.35
46,2.2003129909431318e-13,,,,,,,,,,,,,,,,,coordination,1,-0.024421341914397217,,0,13,0.030607860518611047,0.5577112810827122,197595977564310.22,128,128,0,0.35
47,2.2078932176147489e-13,,,,,,,,,,,,,,,,,coordination,1,0.12444920736966457,,0,16,0.04415171744764883,0.2811996259697478,205407710172617.7,128,128,0,0.35
48,2.2421703987356751e-13,,,,,,,,,,,,,,,,,coordination,1,0.24971889618337526,,0,17,0.08793349763909582,0.4010091475137465,197706840161121.2,128,128,0,0.35
49,2.2462682673055356e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.8763066207517589,-0.8397268592583327,1,14,0.1962854400393441,0.7584828739887723,194278517369065.44,128,128,0,0.35
50,2.247816099791994e-13,,,,,,,,,,,,,,,,,random_surface,1,-0.14919866995569464,,0,17,0.05264980615531506,0.6251094721940097,186133891429689.72,128,128,0,0.35
51,2.3402434191644914e-13,,,,,,,,,,,,,,,,,random_bulk,1,-0.0495971374903784,,0,18,0.024432148409336,0.4284730061154951,188057245124127.28,128,128,0,0.35
52,2.387180798460748e-13,,,,,,,,,,,,,,,,,coordination,1,-0.34057828852179745,,0,15,0.14537915212932426,0.20644963855466753,205389037827360.6,128,128,0,0.35
53,2.52662532768236e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.2635948735424365,-0.6730828198255523,1,18,0.15484264371492928,0.43195706073588985,196448222880147.3,128,128,0,0.35
54,2.615763382285103e-13,,,,,,,,,,,,,,,,,random_bulk,1,0.06337959598547432,,0,16,0.03261054097757279,0.20213533983343523,196534285773090.25,128,128,0,0.35
55,2.62049128703478e-13,,,,,,,,,,,,,,,,,surface,1,-0.025317242761743037,,0,17,0.04685196924586798,0.17605803101143502,192947507059959.47,128,128,0,0.35
56,2.625882351625198e-13,,,,,,,,,,,,,,,,,coordination,1,-0.38957606114257076,-0.03913137509326248,1,16,0.14576904591995865,0.34217855517668794,196805434183776.0,128,128,0,0.35
57,2.6306375269148863e-13,,,,,,,,,,,,,,,,,surface,1,0.08460023781896436,,0,16,0.028276713462072806,0.4447157599855332,201462745958226.25,128,128,0,0.35
58,2.766170670523895e-13,,,,,,,,,,,,,,,,,surface,1,0.0597799578779671,,0,18,0.07899229525945281,0.2367300610888436,197355188718488.5,128,128,0,0.35
59,2.8406562325066403e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.2051175242638059,,0,18,0.05913409673036689,0.33625506083669293,196369573599963.94,128,128,0,0.35
60,3.0180912223646036e-13,,,,,,,,,,,,,,,,,surface,1,0.01772419981486028,,0,18,0.020697016394180093,0.23923373563944392,195017836394946.44,128,128,0,0.35
61,3.0289432548118315e-13,,,,,,,,,,,,,,,,,surface_compression,1,0.1391027385182562,,0,16,0.0644068370896302,0.43914533017790475,188668940476140.38,128,128,0,0.35
62,3.0703982955414174e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.0563806307147447,,0,17,0.050309688629206116,0.5501001923046688,200682521993291.25,128,128,0,0.35
63,3.0971822407395626e-13,,,,,,,,,,,,,,,,,surface,1,0.43315243265101916,,0,18,0.07380772411842025,0.18557626498689306,192733982302054.94,128,128,0,0.35
64,3.1051083996176855e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.3349046175546812,-0.005712052191043426,1,18,0.15482288358179197,0.3646228970641251,197990967792930.88,128,128,0,0.35
65,3.379257765741712e-13,,,,,,,,,,,,,,,,,coordination,1,-0.3351091047516067,-0.3477078746320892,1,17,0.08063743838658381,0.6926527686969776,199553518708289.3,128,128,0,0.35
66,3.4123462524193e-13,,,,,,,,,,,,,,,,,surface,1,0.21802901419289966,,0,18,0.09236317508858342,0.3033901032813113,201355486137328.38,128,128,0,0.35
67,3.417603600819107e-13,,,,,,,,,,,,,,,,,surface,1,0.0012397406735482589,,0,15,0.01918967376631303,0.6376601503942001,196400484955415.62,128,128,0,0.35
68,3.4252901748247975e-13,,,,,,,,,,,,,,,,,random_bulk,1,-0.06020586687529005,,0,17,0.03696905513432453,0.5380683437972121,202050937161571.2,128,128,0,0.35
69,3.470259289182872e-13,,,,,,,,,,,,,,,,,coordination,1,0.04872004646102207,,0,17,0.024835380507226168,0.22821737505242418,186208277926430.62,128,128,0,0.35
70,3.47685306497324e-13,,,,,,,,,,,,,,,,,coordination,1,-0.07927982604401922,,0,17,0.035217158975985485,0.47836204046124414,193740798281337.75,128,128,0,0.35
